,city,max_temp,min_temp,weh,wind,sunny,overcast,rainy,cloudy,snowy,EW,WW,NW,SW,wind_level,year,month,day
2022-01-01,中山,22.0,14.0,晴,北风 1级,True,False,False,False,False,False,False,True,False,True,2022.0,1.0,1.0
2022-01-02,中山,22.0,14.0,晴,东南风 1级,True,False,False,False,False,True,False,False,True,True,2022.0,1.0,2.0
2022-01-03,中山,23.0,15.0,多云,北风 0级,False,False,False,True,False,False,False,True,False,False,2022.0,1.0,3.0
2022-01-04,中山,24.0,15.0,多云,东南风 1级,False,False,False,True,False,True,False,False,True,True,2022.0,1.0,4.0
2022-01-05,中山,24.0,13.0,晴,东北风 1级,True,False,False,False,False,True,False,True,False,True,2022.0,1.0,5.0
2022-01-06,中山,23.0,15.0,多云,东风 1级,False,False,False,True,False,True,False,False,False,True,2022.0,1.0,6.0
2022-01-07,中山,20.0,13.0,晴,东北风 3级,True,False,False,False,False,True,False,True,False,True,2022.0,1.0,7.0
2022-01-08,中山,20.0,14.0,晴,东风 2级,True,False,False,False,False,True,False,False,False,True,2022.0,1.0,8.0
2022-01-09,中山,19.0,15.0,晴,西风 1级,True,False,False,False,False,False,True,False,False,True,2022.0,1.0,9.0
2022-01-10,中山,19.0,14.0,小雨,西北风 2级,False,False,True,False,False,False,True,True,False,True,2022.0,1.0,10.0
2022-01-11,中山,17.0,11.0,晴,北风 2级,True,False,False,False,False,False,False,True,False,True,2022.0,1.0,11.0
2022-01-12,中山,17.0,12.0,多云,北风 2级,False,False,False,True,False,False,False,True,False,True,2022.0,1.0,12.0
2022-01-13,中山,18.0,10.0,阴,北风 2级,False,True,False,False,False,False,False,True,False,True,2022.0,1.0,13.0
2022-01-14,中山,16.0,13.0,多云,东北风 1级,False,False,False,True,False,True,False,True,False,True,2022.0,1.0,14.0
2022-01-15,中山,20.0,15.0,多云,南风 1级,False,False,False,True,False,False,False,False,True,True,2022.0,1.0,15.0
2022-01-16,中山,22.0,14.0,多云,东南风 1级,False,False,False,True,False,True,False,False,True,True,2022.0,1.0,16.0
2022-01-17,中山,19.0,13.0,多云,西风 2级,False,False,False,True,False,False,True,False,False,True,2022.0,1.0,17.0
2022-01-18,中山,17.0,13.0,多云,北风 2级,False,False,False,True,False,False,False,True,False,True,2022.0,1.0,18.0
2022-01-19,中山,20.0,13.0,晴,北风 1级,True,False,False,False,False,False,False,True,False,True,2022.0,1.0,19.0
2022-01-20,中山,21.0,13.0,晴,东南风 1级,True,False,False,False,False,True,False,False,True,True,2022.0,1.0,20.0
2022-01-21,中山,21.0,16.0,多云,南风 1级,False,False,False,True,False,False,False,False,True,True,2022.0,1.0,21.0
2022-01-22,中山,21.0,17.0,多云,东风 2级,False,False,False,True,False,True,False,False,False,True,2022.0,1.0,22.0
2022-01-23,中山,20.0,15.0,阴,东北风 1级,False,True,False,False,False,True,False,True,False,True,2022.0,1.0,23.0
2022-01-24,中山,21.0,15.0,多云,北风 1级,False,False,False,True,False,False,False,True,False,True,2022.0,1.0,24.0
2022-01-25,中山,21.0,15.0,多云,东南风 1级,False,False,False,True,False,True,False,False,True,True,2022.0,1.0,25.0
2022-01-26,中山,20.0,16.0,阴,东南风 1级,False,True,False,False,False,True,False,False,True,True,2022.0,1.0,26.0
2022-01-27,中山,23.0,17.0,多云,东南风 1级,False,False,False,True,False,True,False,False,True,True,2022.0,1.0,27.0
2022-01-28,中山,23.0,17.0,多云,东南风 1级,False,False,False,True,False,True,False,False,True,True,2022.0,1.0,28.0
2022-01-29,中山,15.0,10.0,多云,北风 2级,False,False,False,True,False,False,False,True,False,True,2022.0,1.0,29.0
2022-01-30,中山,13.0,10.0,多云,东北风 2级,False,False,False,True,False,True,False,True,False,True,2022.0,1.0,30.0
2022-01-31,中山,8.0,6.0,多云,东北风 2级,False,False,False,True,False,True,False,True,False,True,2022.0,1.0,31.0
2022-02-01,中山,10.0,9.0,中雨,东北风 1级,False,False,True,False,False,True,False,True,False,True,2022.0,2.0,1.0
